SONG,DURATION
Love Me Do,139
P.S. I Love You,121
Please Please Me,117
Ask Me Why,144
There's A Place,108
I Saw Her Standing There,171
A Taste of Honey,120
Do You Want To Know A Secret,115
Misery,105
Hold Me Tight,150
Anna (Go To Him)',173
Boys,143
Chains,143
Baby It's You,155
Twist And Shout,152
From Me To You,116
Thank You Girl,123
She Loves You,141
I'll Get You,126
You Really Got A Hold On Me,180
Money (That's What I Want),167
Devil In Her Heart,145
Till There Was You,132
Please Mr. Postman,151
It Won't Be Long,131
Roll Over Beethoven,163
All My Loving,126
I Wanna Be Your Man,118
Little Child,104
All I've Got To Do,120
Not A Second Time,124
Don't Bother Me,146
I Want To Hold Your Hand,145
This Boy,135
Can't Buy Me Love,131
You Can't Do That,153
And I Love Her,148
I Should Have Known Better,161
Tell Me Why,128
If I Fell,138
I'm Happy Just To Dance With You,116
Long Tall Sally,122
I Call Your Name,128
A Hard Day's Night,153
Matchbox,118
I'll Cry Instead,105
Slow Down,176
I'll Be Back,141
Any Time At All,129
Things We Said Today,154
When I Get Home,135
Baby's In Black,124
I'm A Loser,148
Mr. Moonlight,159
Every Little Thing,123
I Don't Want To Spoil The Party,153
What You're Doing,150
No Reply,135
Eight Days A Week,162
She's A Woman,182
Kansas City/Hey Hey Hey Hey,157
I Feel Fine,138
I'll Follow The Sun,107
Everybody's Trying To Be My Baby,145
Rock And Roll Music,148
Words Of Love,123
Honey Don't,177
Ticket To Ride,190
Another Girl,125
I Need You,149
Yes It Is,162
The Night Before,156
You Like Me Too Much,155
You've Got To Hide Your Love Away,129
Tell Me What You See,158
You're Going To Lose That Girl,140
Help!,140
Dizzy Miss Lizzy,177
Bad Boy,140
I've Just Seen A Face,125
I'm Down,152
Yesterday,126
It's Only Love,117
Act Naturally,150
Wait,133
Run For Your Life,138
Norwegian Wood (This Bird Has Flown),125
Drive My Car,148
Day Tripper,166
If I Needed Someone,142
In My Life,145
We Can Work It Out,135
Nowhere Man,162
I'm Looking Through You,146
Michelle,162
What Goes On,168
Think For Yourself,138
The Word,162
You Won't See Me,198
Girl,150
Tomorrow Never Knows,179
Got To Get You Into My Life,148
Love You To,180
Paperback Writer,136
Rain,180
Doctor Robert,134
And Your Bird Can Sing,120
Taxman,158
I'm Only Sleeping,179
Eleanor Rigby,125
For No One,119
Yellow Submarine,158
I Want To Tell You,147
Good Day Sunshine,128
Here There And Everywhere,144
She Said She Said,156
Strawberry Fields Forever,247
When I'm Sixty-Four,157
Penny Lane,180
A Day In The Life,337
Sgt. Pepper's Lonely Hearts Club Band,125
"Good Morning, Good Morning",161
Fixing A Hole,156
Only A Northern Song,203
Being For The Benefit Of Mr. Kite!,157
Lovely Rita,162
Lucy In The Sky With Diamonds,208
Getting Better,168
Within You Without You,304
She's Leaving Home,219
With A Little Help From My Friends,164
Sgt. Pepper's Lonely Hearts Club Band (Reprise),79
Magical Mystery Tour,170
Baby You're A Rich Man,181
All Together Now,131
You Know My Name (Look Up The Number),259
It's All Too Much,384
All You Need Is Love,231
Your Mother Should Know,148
I Am The Walrus,275
Blue Jay Way,235
Flying,135
The Fool On The Hill,179
Hello Goodbye,209
The Inner Light,156
Lady Madonna,137
Across The Universe,228
Hey Bulldog,190
Revolution 1,255
Don't Pass Me By,229
Revolution 9,501
Blackbird,138
Everybody's Got Something To Hide Except Me And My Monkey,144
Good Night,193
Ob-La-Di Ob-La-Da,188
Revolution,207
Cry Baby Cry,181
Helter Skelter,269
Sexy Sadie,194
While My Guitar Gently Weeps,284
Hey Jude,428
Mother Nature's Son,167
Yer Blues,239
Rocky Raccoon,212
Wild Honey Pie,52
Back In The USSR,163
Dear Prudence,235
Glass Onion,137
I Will,105
Birthday,162
Piggies,123
Happiness Is A Warm Gun,164
Honey Pie,160
Savoy Truffle,174
Martha My Dear,148
Long Long Long,185
I'm So Tired,123
The Continuing Story of Bungalow Bill,193
Why Don't We Do It In The Road,100
Julia,176
Dig A Pony,235
I've Got A Feeling,218
Don't Let Me Down,215
Get Back,189
Two Of Us,216
Maggie Mae,40
Dig It,50
For You Blue,152
Let It Be,243
The Long And Winding Road,218
One After 909,174
I Want You (She's So Heavy),646
The Ballad of John And Yoko,179
Old Brown Shoe,198
Something,182
Oh! Darling,207
Octopus's Garden,170
You Never Give Me Your Money,243
Her Majesty,26
Golden Slumbers,91
Carry That Weight,96
Here Comes The Sun,185
Maxwell's Silver Hammer,207
Come Together,260
The End,124
Sun King,146
Mean Mr. Mustard,66
Polythene Pam,72
She Came In Through The Bathroom Window,118
Because,165
I Me Mine,146
